ENSGDEMO00001	MT-DEMO1	Gene Expression
ENSGDEMO00002	MT-DEMO2	Gene Expression
ENSGDEMO00003	MT-DEMO3	Gene Expression
ENSGDEMO00004	MT-DEMO4	Gene Expression
ENSGDEMO00005	MT-DEMO5	Gene Expression
ENSGDEMO00006	AMBIENT6	Gene Expression
ENSGDEMO00007	AMBIENT7	Gene Expression
ENSGDEMO00008	AMBIENT8	Gene Expression
ENSGDEMO00009	AMBIENT9	Gene Expression
ENSGDEMO00010	AMBIENT10	Gene Expression
ENSGDEMO00011	AMBIENT11	Gene Expression
ENSGDEMO00012	AMBIENT12	Gene Expression
ENSGDEMO00013	AMBIENT13	Gene Expression
ENSGDEMO00014	AMBIENT14	Gene Expression
ENSGDEMO00015	AMBIENT15	Gene Expression
ENSGDEMO00016	GENE16	Gene Expression
ENSGDEMO00017	GENE17	Gene Expression
ENSGDEMO00018	GENE18	Gene Expression
ENSGDEMO00019	GENE19	Gene Expression
ENSGDEMO00020	GENE20	Gene Expression
ENSGDEMO00021	TYPEA1	Gene Expression
ENSGDEMO00022	TYPEA2	Gene Expression
ENSGDEMO00023	TYPEA3	Gene Expression
ENSGDEMO00024	TYPEA4	Gene Expression
ENSGDEMO00025	TYPEA5	Gene Expression
ENSGDEMO00026	TYPEA6	Gene Expression
ENSGDEMO00027	TYPEA7	Gene Expression
ENSGDEMO00028	TYPEA8	Gene Expression
ENSGDEMO00029	TYPEA9	Gene Expression
ENSGDEMO00030	TYPEA10	Gene Expression
ENSGDEMO00031	TYPEA11	Gene Expression
ENSGDEMO00032	TYPEA12	Gene Expression
ENSGDEMO00033	TYPEA13	Gene Expression
ENSGDEMO00034	TYPEA14	Gene Expression
ENSGDEMO00035	TYPEA15	Gene Expression
ENSGDEMO00036	TYPEA16	Gene Expression
ENSGDEMO00037	TYPEA17	Gene Expression
ENSGDEMO00038	TYPEA18	Gene Expression
ENSGDEMO00039	TYPEA19	Gene Expression
ENSGDEMO00040	TYPEA20	Gene Expression
ENSGDEMO00041	TYPEA21	Gene Expression
ENSGDEMO00042	TYPEA22	Gene Expression
ENSGDEMO00043	TYPEA23	Gene Expression
ENSGDEMO00044	TYPEA24	Gene Expression
ENSGDEMO00045	TYPEA25	Gene Expression
ENSGDEMO00046	TYPEA26	Gene Expression
ENSGDEMO00047	TYPEA27	Gene Expression
ENSGDEMO00048	TYPEA28	Gene Expression
ENSGDEMO00049	TYPEA29	Gene Expression
ENSGDEMO00050	TYPEA30	Gene Expression
ENSGDEMO00051	TYPEB1	Gene Expression
ENSGDEMO00052	TYPEB2	Gene Expression
ENSGDEMO00053	TYPEB3	Gene Expression
ENSGDEMO00054	TYPEB4	Gene Expression
ENSGDEMO00055	TYPEB5	Gene Expression
